X,Y,Theta,linear,angular,time
0.00016002912533380544,0.0,0.0010054974377294286,0.0016002912533380543,0.010054974377294286,0
-0.003609574512088011,-3.790328076055527e-06,0.011730350510324098,-0.03769605543004561,0.10724853072594669,0.1
-0.007354758990157572,-4.772466988638113e-05,0.03045530618271359,-0.037454421636388235,0.1872495567238949,0.2
-0.008848697626794813,-9.323710066955421e-05,0.05587954030764032,-0.014946317377178005,0.2542423412492673,0.30000000000000004
-0.0071930046932757235,-6.213222807031075e-07,0.08695441400253075,0.016582812706267963,0.31074873694890426,0.4
-0.002386771232479148,0.0004183584028937741,0.12285709776006015,0.04824461015469801,0.359026837575294,0.5
0.005055270077344314,0.0013372940895398791,0.16292528732279732,0.074985613055646,0.4006818956273718,0.6
0.014400278303991805,0.0028734485816598668,0.20659589075211493,0.0947042498411606,0.436706034293176,0.7
0.024902531451615965,0.005074576477022588,0.2533660497871492,0.10730437325129179,0.46770159035034264,0.7999999999999999
0.03592471853341181,0.007928557260688154,0.30277570819784616,0.1138568462498586,0.49409658410696916,0.8999999999999999
0.046991826078126034,0.011385702348933055,0.3544062955694657,0.11594512562736146,0.516305873716195,0.9999999999999999
0.057795900901331826,0.015383534022594535,0.4078865546759061,0.11520012624835108,0.5348025910644043,1.0999999999999999
0.06817077255323303,0.019866732095413467,0.4628984984833941,0.11302080638252003,0.5501194380748796,1.2
0.07805227047220989,0.024798231600080062,0.5191803868023617,0.1104371714991247,0.5628188831896762,1.3
0.08743696334128931,0.03016133990978115,0.576523565002065,0.10809042093938526,0.5734317819970332,1.4000000000000001
0.09634746054181201,0.035955043563903576,0.6347651667470067,0.1062845061108695,0.582416017449416,1.5000000000000002
0.10480858158586631,0.042186139693857885,0.6937781208946123,0.10507955476821844,0.5901295414760567,1.6000000000000003
0.11283441615453259,0.048861288133483505,0.7534609864470846,0.10438947610493837,0.596828655524723,1.7000000000000004
0.12042450441356169,0.0559814138890538,0.8137290297956201,0.10406999113816953,0.6026804334853549,1.8000000000000005
0.1275653002776254,0.06353873148658913,0.8745088100365009,0.103973080574852,0.6077978024088083,1.9000000000000006
