Time,X,Y,Theta,linear,angular,cost
0.0,0.00017649344029940317,0.0,0.000931137361644677,0.0017649344029940315,0.00931137361644677,4.94600848115514e-05
0.1,0.0021003790051748097,1.7914022467096681e-06,0.011074688234902114,0.019238863988962473,0.10143550873257437,0.005832077204734145
0.2,0.00551624555489134,3.962260599906325e-05,0.029114535692005613,0.03416076036251193,0.18039847457103497,0.018337936969336586
0.30000000000000004,0.010203466993988306,0.0001761274537900858,0.05392552839826879,0.04689208717107897,0.24810992706263177,0.034468586945008206
0.4,0.015968033439625988,0.00048728641672313085,0.08454108852610087,0.057729581850542985,0.30615560127832075,0.05214027464082767
0.5,0.02263616475047283,0.0010523643789883059,0.12012771668840115,0.066920317006223,0.35586628162300277,0.06998585227662736
0.6,0.03004965294932528,0.0019472384796527069,0.15996471028838394,0.07467302520359309,0.39836993599982773,0.08714274188745647
0.7,0.03806268009176003,0.0032400863385249595,0.2034278362305582,0.0811665322479571,0.4346312594217427,0.1031012347310561
0.7999999999999999,0.04653979842173351,0.004988756663592064,0.24997601513887635,0.08655598366730205,0.4654817890831812,0.11759554954637158
0.8999999999999999,0.055354766364740564,0.0072393623044040446,0.29914030996380603,0.09097740685834954,0.49164294824929644,0.13052549342955969
0.9999999999999999,0.06438997048985295,0.010025769987299343,0.3505146886996958,0.09455103455687083,0.513743787358898,0.1419002121394812
1.0999999999999999,0.07353621168219857,0.013369744363222979,0.4037481645381954,0.09738372172770637,0.5323347583849958,0.1517979944403179
1.2,0.08269268391109921,0.01728155792870084,0.45853801820156737,0.0995707130885812,0.5478985366337198,0.1603378008093683
1.3,0.09176702104952329,0.021760916001857877,0.5146238841892128,0.1011969580814264,0.5608586598764537,0.16765937581756019
1.4000000000000001,0.10067532843056409,0.026798074902906824,0.5717825407681222,0.10233812104466382,0.5715865657890935,0.17390964315268884
1.5000000000000002,0.10934214986102857,0.03237505586272603,0.629823286832411,0.10306139448588122,0.5804074606428876,0.17923368335539702
1.6000000000000003,0.11770034726058796,0.038466878797196874,0.6885838204051221,0.10342619128390376,0.5876053357271114,0.18376903068781625
1.7000000000000004,0.1256908892640612,0.04504275950989896,0.7479265560972981,0.10348476634604585,0.5934273569217591,0.18764234665528548
1.8000000000000005,0.13326255780541169,0.052067231086365115,0.8077353343773683,0.10328279887215379,0.5980877828007024,0.19096776695237216
1.9000000000000006,0.1403715889769867,0.05950116499391936,0.8679124857952335,0.102859952138969,0.601771514178652,0.19384639871370427
2.0000000000000004,0.14698126752649976,0.06730267952042401,0.9283762198072352,0.10225041781584863,0.6046373401200169,0.19636658152854772
2.1000000000000005,0.15306149439444985,0.0754279326387584,0.9890583117430664,0.10148344544936613,0.6068209193583115,0.19860462963022754
2.2000000000000006,0.1585883447598929,0.08383180330338787,1.0499020636726093,0.10058385412670252,0.6084375192954288,0.20062585178003395
2.3000000000000007,0.16354363102457148,0.09246846983965554,1.1108605161694112,0.09957252172341424,0.6095845249680196,0.20248570532845483
2.400000000000001,0.16791448169261453,0.10129189683141958,1.1718948887279323,0.09846684692896517,0.6103437255852115,0.20423098603954212
2.500000000000001,0.17169294366652488,0.11025624314020159,1.2329732272072322,0.09728117990241497,0.6107833847929982,0.20590098880799843
2.600000000000001,0.17487561237878366,0.11931620378386387,1.2940692373458549,0.09602721853552788,0.6109601013862268,0.20752859897329753
2.700000000000001,0.1774632915722572,0.12842729771250544,1.3551612842238558,0.09471436859572319,0.6109204687800092,0.20914129159599348
2.800000000000001,0.17946068248885047,0.1375461123367755,1.4162315385712443,0.09335006728733031,0.610702543473884,0.21076202844545094
2.9000000000000012,0.18087610071155802,0.14663051422129972,1.4772652520257687,0.0919400708857242,0.6103371345452451,0.21241005085667986
3.0000000000000013,0.18172121787467804,0.15563983382622087,1.5382501447895371,0.09048870800437844,0.6098489276376834,0.21410157207370795
3.1000000000000014,0.18201082483354547,0.16453503068295364,1.5991758905746785,0.08899910073177866,0.6092574578514137,0.21585037600994444
3.2000000000000015,0.18176261258550885,0.17327884400224358,1.6600336852127429,0.0874733563336102,0.6085779463806451,0.2176683311403404
3.3000000000000016,0.18099696717839664,0.1818359324753195,1.7208158867848748,0.08591273248214193,0.60782201572132,0.21956582896509494
3.4000000000000017,0.179736774961028,0.1901730059589093,1.7815157165718136,0.0843177790833536,0.6069982978693886,0.22155215650043156
3.5000000000000018,0.17800723476394067,0.19825895083130474,1.8421270114952653,0.08268845975875888,0.6061129492345152,0.22363581181495837
3.600000000000002,0.17583567390138982,0.20606495005760242,1.9026440200048604,0.08102425593655425,0.6051700850959518,0.2258247709241809
3.700000000000002,0.17325136522348597,0.2135645983896127,1.9630612345454843,0.07932425634477364,0.6041721454062385,0.22812671350903674
3.800000000000002,0.1702853427960444,0.2207340126289839,2.0233732548126357,0.07758723450142109,0.6031202026715142,0.23054921402360423
3.900000000000002,0.16697021412987173,0.22755193647991534,2.083574676968343,0.07581171658152808,0.6020142215570736,0.23309990385835333
4.000000000000002,0.16333996721226074,0.23399983919092465,2.143660004850545,0.07399604182215778,0.6008532788220163,0.2357866093623684
4.100000000000001,0.15942977090815916,0.24006200691635454,2.2036235799708668,0.0721384174125366,0.5996357512032181,0.23861746971906983
4.200000000000001,0.15527576759751674,0.24572562550338428,2.2634595277670195,0.07023696961300152,0.5983594779615257,0.2416010379225242
4.300000000000001,0.150914857202179,0.2509808532180749,2.323161718164849,0.06828979265557687,0.5970219039782971,0.24474636741581335
4.4,0.1463844720357056,0.25582088175635737,2.3827237390195988,0.06629499680065667,0.5956202085474978,0.24806308632489685
