time,linear,angular
0,0.150153375377216,0.104725012270334
0.1,0.156490721194762,0.152000371268163
0.2,0.162407207511807,0.199323307763407
0.3,0.167813148833656,0.246696089104615
0.4,0.172621468791335,0.294120779855881
0.5,0.176748336910048,0.341599233946766
0.6,0.180113783747021,0.389133087734965
0.7,0.182642289119839,0.436723754002752
0.8,0.18426333836851,0.484372416903585
0.9,0.18491194186405,0.532080027870669
1,0.184529113291193,0.579847302494754
1.1,0.183062302589672,0.627674718374086
1.2,0.180465779834232,0.675562513935175
1.3,0.176700966764291,0.723510688218967
1.4,0.171736713135915,0.771519001623076
1.5,0.165549515557033,0.819586977587046
1.6,0.158123676977098,0.867713905204003
1.7,0.149451405529591,0.915898842738797
1.8,0.139532851965028,0.96414062202953
1.9,0.128376085458118,1.01243785374647
2,0.115997008120362,1.06078893347959
2.1,0.102419209093253,1.10919204862343
2.2,0.0876737596323017,1.15764518602561
2.3,0.0717989511130666,1.20614614036329
2.4,0.054839978392435,1.25469252320958
2.5,0.0368485714365878,1.30328177275055
2.6,0.0178825785770244,1.3519111641114
2.7,0.00199449482665903,1.40057782024918
2.8,0.0227139881577161,1.44927872336798
2.9,0.0442026232466517,1.49801072681148
3,0.0663830732112879,1.54677056738649
3.1,0.0891745573831483,1.5955548780705
3.2,0.112493457067476,1.64436020105542
3.3,0.136253946730891,1.69318300107892
3.4,0.160368635108675,1.74201967899472
3.5,0.184749210673746,1.79086658553235
3.6,0.209307085911817,1.83972003519728
3.7,0.233954034901779,1.88857632026166
3.8,0.258602818806214,1.93743172479653
3.9,0.283167794032965,1.98628253869635
4,0.307565498032968,2.035125071647
4.1,0.331715207950069,2.08395566698903
4.2,0.35553946763245,2.13277071542867
4.3,0.378964578849672,2.18156666854963
4.4,0.40192105293065,2.23034005207988
4.5,0.42434401944235,2.27908747886854
4.6,0.446173588962561,2.32780566152929
4.7,0.467355167458278,2.37649142470782
4.8,0.487839720259607,2.42514171693257
4.9,0.50758398411272,2.47375362200921
5,0.524703583418155,2.51274464834431
5.1,0.524751084444358,2.46552333692776
5.2,0.524618019232724,2.41834450151759
5.3,0.52428132777733,2.37120522487595
5.4,0.523721421294575,2.32410243179109
5.5,0.522922103882632,2.2770329021871
5.6,0.52187045571385,2.22999328480281
5.7,0.520556680038535,2.18298011137227
5.8,0.518973916652963,2.13598981123817
5.9,0.517118024827753,2.08901872632788
6,0.514987339001273,2.04206312642126
6.1,0.512582400813631,1.99511922463927
6.2,0.509905671287285,1.94818319308219
6.3,0.506961227148168,1.90125117854721
6.4,0.503754445424684,1.854319318256
6.5,0.500291680559654,1.80738375552407
6.6,0.496579938321438,1.76044065530569
6.7,0.492626550804655,1.71348621955
6.8,0.488438856768272,1.66651670230622
6.9,0.484023891469959,1.61952842451848
7,0.479388090021566,1.57251778845352
7.1,0.474537008112871,1.52548129170734
7.2,0.469475063731403,1.47841554074008
7.3,0.46420530324753,1.43131726389151
7.4,0.458729194938875,1.38418332383273
7.5,0.45304645269973,1.337010729413
7.6,0.447154892322869,1.28979664686397
7.7,0.441050322356929,1.24253841032683
7.8,0.43472647113625,1.19523353167112
7.9,0.428174951156166,1.14787970957732
8,0.421385261529544,1.1004748378584
8.1,0.414344828814542,1.05301701299857
8.2,0.407039086053757,1.00550454089057
8.3,0.399451589415809,0.957935942755696
8.4,0.391564171386802,0.910309960233688
8.5,0.383357129025489,0.86262555963216
8.6,0.374809445377058,0.814881935328109
8.7,0.365899041740588,0.767078512316496
8.8,0.356603058108563,0.719214947903421
8.9,0.346898158747539,0.671291132543825
9,0.33676085957063,0.623307189826041
9.1,0.326167873668525,0.57526347560782
9.2,0.315096471119249,0.527160576310713
9.3,0.303524848990513,0.478999306381952
9.4,0.291432507284654,0.430780704935169
9.5,0.278800626456659,0.382506031583472
9.6,0.265612442062008,0.334176761480593
9.7,0.25185361206418,0.285794579587962
9.8,0.237512572351916,0.237361374187739
9.9,0.222580876084026,0.188879229663959
