Iteration,cost
0,9.040256401810757
1,8.998554311959351
2,8.996950922825635
3,8.995325390843062
4,8.993678617767506
5,8.992011234948746
6,8.99032462748279
7,8.988619988315905
8,8.986898832863162
9,8.98516268901749
