X,Y,Theta,time
0.1068717,0.0407676,0.7351327,1.1600000
0.1076134,0.0414383,0.7414159,1.1700000
0.1083510,0.0421136,0.7476991,1.1800000
0.1090842,0.0427936,0.7539822,1.1900000
0.1098132,0.0434781,0.7602654,1.2000000
0.1105378,0.0441672,0.7665486,1.2100000
0.1112581,0.0448609,0.7728318,1.2200000
0.1119741,0.0455590,0.7791150,1.2300000
0.1126856,0.0462617,0.7853982,1.2400000
0.1133927,0.0469688,0.7916813,1.2500000
0.1140954,0.0476803,0.7979645,1.2600000
0.1147935,0.0483963,0.8042477,1.2700000
0.1154872,0.0491166,0.8105309,1.2800000
0.1161763,0.0498412,0.8168141,1.2900000
0.1168609,0.0505702,0.8230973,1.3000000
0.1175408,0.0513035,0.8293805,1.3100000
0.1182161,0.0520410,0.8356636,1.3200000
0.1188868,0.0527827,0.8419468,1.3300000
0.1195528,0.0535287,0.8482300,1.3400000
0.1202141,0.0542788,0.8545132,1.3500000
0.1208707,0.0550330,0.8607964,1.3600000
0.1215226,0.0557914,0.8670796,1.3700000
0.1221696,0.0565538,0.8733628,1.3800000
0.1228119,0.0573203,0.8796459,1.3900000
0.1234493,0.0580908,0.8859291,1.4000000
0.1240819,0.0588653,0.8922123,1.4100000
0.1247096,0.0596438,0.8984955,1.4200000
0.1253323,0.0604262,0.9047787,1.4300000
0.1259502,0.0612125,0.9110619,1.4400000
0.1265631,0.0620026,0.9173451,1.4500000
0.1271710,0.0627966,0.9236282,1.4600000
0.1277740,0.0635944,0.9299114,1.4700000
0.1283719,0.0643960,0.9361946,1.4800000
0.1289647,0.0652013,0.9424778,1.4900000
0.1295525,0.0660103,0.9487610,1.5000000
0.1301352,0.0668230,0.9550442,1.5100000
0.1307128,0.0676393,0.9613274,1.5200000
0.1312852,0.0684593,0.9676105,1.5300000
0.1318525,0.0692828,0.9738937,1.5400000
0.1324146,0.0701099,0.9801769,1.5500000
0.1329714,0.0709405,0.9864601,1.5600000
0.1335231,0.0717746,0.9927433,1.5700000
0.1340695,0.0726121,0.9990265,1.5800000
0.1346106,0.0734531,1.0053096,1.5900000
0.1351464,0.0742974,1.0115928,1.6000000
0.1356769,0.0751451,1.0178760,1.6100000
0.1362021,0.0759961,1.0241592,1.6200000
0.1367219,0.0768503,1.0304424,1.6300000
0.1372364,0.0777079,1.0367256,1.6400000
0.1377454,0.0785686,1.0430088,1.6500000
0.1382490,0.0794325,1.0492919,1.6600000
0.1387472,0.0802996,1.0555751,1.6700000
0.1392400,0.0811698,1.0618583,1.6800000
0.1397272,0.0820430,1.0681415,1.6900000
0.1402090,0.0829193,1.0744247,1.7000000
0.1406852,0.0837987,1.0807079,1.7100000
0.1411559,0.0846810,1.0869911,1.7200000
0.1416211,0.0855662,1.0932742,1.7300000
0.1420806,0.0864543,1.0995574,1.7400000
0.1425346,0.0873453,1.1058406,1.7500000
0.1429830,0.0882392,1.1121238,1.7600000
0.1434258,0.0891358,1.1184070,1.7700000
0.1438629,0.0900352,1.1246902,1.7800000
0.1442943,0.0909373,1.1309734,1.7900000
0.1447201,0.0918422,1.1372565,1.8000000
0.1451402,0.0927497,1.1435397,1.8100000
0.1455546,0.0936598,1.1498229,1.8200000
0.1459632,0.0945725,1.1561061,1.8300000
0.1463661,0.0954877,1.1623893,1.8400000
0.1467633,0.0964055,1.1686725,1.8500000
0.1471547,0.0973257,1.1749557,1.8600000
0.1475402,0.0982484,1.1812388,1.8700000
0.1479200,0.0991734,1.1875220,1.8800000
0.1482940,0.1001009,1.1938052,1.8900000
0.1486621,0.1010307,1.2000884,1.9000000
0.1490244,0.1019627,1.2063716,1.9100000
0.1493808,0.1028971,1.2126548,1.9200000
0.1497313,0.1038336,1.2189379,1.9300000
0.1500760,0.1047723,1.2252211,1.9400000
0.1504147,0.1057132,1.2315043,1.9500000
0.1507475,0.1066562,1.2377875,1.9600000
0.1510744,0.1076013,1.2440707,1.9700000
0.1513954,0.1085484,1.2503539,1.9800000
0.1517103,0.1094975,1.2566371,1.9900000
0.1520194,0.1104485,1.2629202,2.0000000
0.1523224,0.1114015,1.2692034,2.0100000
0.1526194,0.1123564,1.2754866,2.0200000
0.1529105,0.1133131,1.2817698,2.0300000
0.1531955,0.1142716,1.2880530,2.0400000
0.1534745,0.1152319,1.2943362,2.0500000
0.1537474,0.1161939,1.3006194,2.0600000
0.1540143,0.1171577,1.3069025,2.0700000
0.1542752,0.1181230,1.3131857,2.0800000
0.1545299,0.1190900,1.3194689,2.0900000
0.1547786,0.1200586,1.3257521,2.1000000
0.1550212,0.1210287,1.3320353,2.1100000
0.1552577,0.1220004,1.3383185,2.1200000
0.1554881,0.1229735,1.3446017,2.1300000
0.1557124,0.1239480,1.3508848,2.1400000
0.1559305,0.1249239,1.3571680,2.1500000
0.1561425,0.1259012,1.3634512,2.1600000
0.1563484,0.1268798,1.3697344,2.1700000
0.1565481,0.1278596,1.3760176,2.1800000
0.1567417,0.1288407,1.3823008,2.1900000
0.1569290,0.1298230,1.3885840,2.2000000
0.1571103,0.1308064,1.3948671,2.2100000
0.1572853,0.1317910,1.4011503,2.2200000
0.1574541,0.1327767,1.4074335,2.2300000
0.1576167,0.1337633,1.4137167,2.2400000
0.1577732,0.1347510,1.4199999,2.2500000
0.1579234,0.1357397,1.4262831,2.2600000
0.1580674,0.1367293,1.4325663,2.2700000
0.1582052,0.1377197,1.4388494,2.2800000
0.1583368,0.1387110,1.4451326,2.2900000
0.1584621,0.1397031,1.4514158,2.3000000
0.1585812,0.1406960,1.4576990,2.3100000
0.1586941,0.1416896,1.4639822,2.3200000
0.1588007,0.1426839,1.4702654,2.3300000
0.1589010,0.1436789,1.4765485,2.3400000
0.1589951,0.1446744,1.4828317,2.3500000
0.1590830,0.1456706,1.4891149,2.3600000
0.1591646,0.1466672,1.4953981,2.3700000
0.1592399,0.1476644,1.5016813,2.3800000
0.1593090,0.1486620,1.5079645,2.3900000
0.1593718,0.1496600,1.5142477,2.4000000
0.1594283,0.1506584,1.5205308,2.4100000
0.1594785,0.1516572,1.5268140,2.4200000
0.1595225,0.1526562,1.5330972,2.4300000
0.1595602,0.1536555,1.5393804,2.4400000
0.1595916,0.1546550,1.5456636,2.4500000
0.1596167,0.1556547,1.5519468,2.4600000
0.1596356,0.1566545,1.5582300,2.4700000
0.1596481,0.1576544,1.5645131,2.4800000
0.1596544,0.1586544,1.5707963,2.4900000
0.1596544,0.1596544,1.5770795,2.5000000
0.1596481,0.1606544,1.5833627,2.5100000
0.1596356,0.1616543,1.5896459,2.5200000
0.1596167,0.1626541,1.5959291,2.5300000
0.1595916,0.1636538,1.6022123,2.5400000
0.1595602,0.1646533,1.6084954,2.5500000
0.1595225,0.1656526,1.6147786,2.5600000
0.1594785,0.1666517,1.6210618,2.5700000
0.1594283,0.1676504,1.6273450,2.5800000
0.1593718,0.1686488,1.6336282,2.5900000
0.1593090,0.1696468,1.6399114,2.6000000
0.1592399,0.1706444,1.6461946,2.6100000
0.1591646,0.1716416,1.6524777,2.6200000
0.1590830,0.1726383,1.6587609,2.6300000
0.1589951,0.1736344,1.6650441,2.6400000
0.1589010,0.1746300,1.6713273,2.6500000
0.1588007,0.1756249,1.6776105,2.6600000
0.1586941,0.1766192,1.6838937,2.6700000
0.1585812,0.1776128,1.6901768,2.6800000
0.1584621,0.1786057,1.6964600,2.6900000
0.1583368,0.1795978,1.7027432,2.7000000
0.1582052,0.1805891,1.7090264,2.7100000
0.1580674,0.1815796,1.7153096,2.7200000
0.1579234,0.1825692,1.7215928,2.7300000
0.1577732,0.1835578,1.7278760,2.7400000
0.1576167,0.1845455,1.7341591,2.7500000
0.1574541,0.1855322,1.7404423,2.7600000
0.1572853,0.1865178,1.7467255,2.7700000
0.1571103,0.1875024,1.7530087,2.7800000
0.1569290,0.1884858,1.7592919,2.7900000
0.1567417,0.1894681,1.7655751,2.8000000
0.1565481,0.1904492,1.7718583,2.8100000
0.1563484,0.1914291,1.7781414,2.8200000
0.1561425,0.1924077,1.7844246,2.8300000
0.1559305,0.1933849,1.7907078,2.8400000
0.1557124,0.1943608,1.7969910,2.8500000
0.1554881,0.1953354,1.8032742,2.8600000
0.1552577,0.1963085,1.8095574,2.8700000
0.1550212,0.1972801,1.8158406,2.8800000
0.1547786,0.1982502,1.8221237,2.8900000
0.1545299,0.1992188,1.8284069,2.9000000
0.1542752,0.2001858,1.8346901,2.9100000
0.1540143,0.2011512,1.8409733,2.9200000
0.1537474,0.2021149,1.8472565,2.9300000
0.1534745,0.2030769,1.8535397,2.9400000
0.1531955,0.2040372,1.8598229,2.9500000
0.1529105,0.2049958,1.8661060,2.9600000
0.1526194,0.2059525,1.8723892,2.9700000
0.1523224,0.2069073,1.8786724,2.9800000
0.1520194,0.2078603,1.8849556,2.9900000
0.1517103,0.2088114,1.8912388,3.0000000
0.1513954,0.2097605,1.8975220,3.0100000
0.1510744,0.2107076,1.9038051,3.0200000
0.1507475,0.2116526,1.9100883,3.0300000
0.1504147,0.2125956,1.9163715,3.0400000
0.1500760,0.2135365,1.9226547,3.0500000
0.1497313,0.2144752,1.9289379,3.0600000
0.1493808,0.2154118,1.9352211,3.0700000
0.1490244,0.2163461,1.9415043,3.0800000
0.1486621,0.2172782,1.9477874,3.0900000
0.1482940,0.2182080,1.9540706,3.1000000
0.1479200,0.2191354,1.9603538,3.1100000
0.1475402,0.2200605,1.9666370,3.1200000
0.1471547,0.2209832,1.9729202,3.1300000
0.1467633,0.2219034,1.9792034,3.1400000
0.1463661,0.2228211,1.9854866,3.1500000
0.1459632,0.2237364,1.9917697,3.1600000
0.1455546,0.2246491,1.9980529,3.1700000
0.1451402,0.2255592,2.0043361,3.1800000
0.1447201,0.2264667,2.0106193,3.1900000
0.1442943,0.2273715,2.0169025,3.2000000
0.1438629,0.2282736,2.0231857,3.2100000
